date,time,ow_aqi,ow_pm2_5,ow_pm10,ow_co,ow_no2,ow_o3,ow_temp,ow_humidity,aqicn_aqi,aqicn_pm2_5,aqicn_pm10,aqicn_no2,aqicn_o3,aqicn_temp,aqicn_humidity
2025-06-29,01:44:33,1,9.7,11.83,76.55,0.1,52.5,27.9,89,25,25,9,2.1,7.5,25,79.54333333333334
2025-06-29,03:27:24,1,9.83,12,77.67,0.1,54.04,29.9,79,84,84,41,2.2,4.7,26,78.89
2025-06-29,04:34:02,2,10.2,12.68,78.89,0.09,55.54,29.9,74,81,81,39,2.2,4.3,27,76.64
2025-06-29,05:20:56,2,10.63,13.2,80.35,0.07,56.87,30.9,70,85,85,42,2.1,4.7,26,79.485
2025-06-29,06:26:23,2,10.95,13.3,82.13,0.06,58,30.9,70,80,80,39,1.9,4.9,24,79.66333333333334
2025-06-29,07:16:55,2,11.18,13.31,83.86,0.05,58.75,30.9,70,68,68,32,2,5.2,25,79.665
2025-06-29,08:22:10,2,11.4,13.4,85.95,0.04,58.94,32.9,58,52,52,20,1.9,4.5,26,79.60499999999999
2025-06-29,09:17:59,2,11.6,13.52,88.08,0.04,59.06,31.9,66,61,61,26,1.9,4.7,27,79.58
2025-06-29,10:20:39,2,11.75,13.5,91.81,0.03,60.27,32.9,58,64,64,29,1.8,3.8,25,79.66499999999999
2025-06-29,11:14:24,2,11.76,13.47,96.97,0.04,61.77,31.9,58,63,63,28,1.9,4,25,79.61
2025-06-29,12:34:48,2,11.52,13.52,112.07,0.06,66.88,31.9,58,59,59,29,1.8,3.7,26,79.62666666666667
2025-06-29,13:26:45,2,11.52,13.52,112.07,0.06,66.88,31.9,62,49,49,24,1.8,3.9,27,79.61
2025-06-29,14:15:34,2,11.7,14.42,121.15,0.08,70.87,30.9,66,58,58,27,1.9,1.2,27,79.64
2025-06-29,15:17:10,2,10.95,17.67,101.12,0.09,74.09,29.9,74,67,67,33,2,0.5,27,79.67500000000001
